task,seed,episode_reward,episode_success
mw-hammer,1,856.3751220703125,0.0
mw-hammer,2,899.6739501953125,0.0
mw-hammer,3,1515.4365234375,1.0
mw-hammer,4,1611.93115234375,1.0
mw-hammer,5,950.2413330078125,0.0
mw-hammer,6,819.2885131835938,0.0
mw-hammer,7,872.4520263671875,0.0
mw-hammer,8,1716.1514892578125,1.0
mw-hammer,9,826.7120361328125,0.0
mw-handle-press-side,0,1855.296142578125,1.0
mw-handle-press-side,1,1821.63671875,1.0
mw-handle-press-side,2,1868.766357421875,1.0
mw-handle-press-side,3,1853.5938720703125,1.0
mw-handle-press-side,4,1844.7427978515625,1.0
mw-handle-press-side,5,1885.991455078125,1.0
mw-handle-press-side,6,1837.1732177734375,1.0
mw-handle-press-side,7,1870.842041015625,1.0
mw-handle-press-side,8,1885.416748046875,1.0
mw-handle-press-side,9,1876.776611328125,1.0
mw-handle-press,0,1847.59716796875,1.0
mw-handle-press,1,1923.895263671875,1.0
mw-handle-press,2,1876.0540771484375,1.0
mw-handle-press,3,1921.624267578125,1.0
mw-handle-press,4,1929.8359375,1.0
mw-handle-press,5,1883.52490234375,1.0
mw-handle-press,6,1879.2838134765625,1.0
mw-handle-press,7,1894.110107421875,1.0
mw-handle-press,8,1916.3011474609375,1.0
mw-handle-press,9,1876.443115234375,1.0
mw-handle-pull-side,0,1162.262451171875,1.0
mw-handle-pull-side,1,374.9771728515625,1.0
mw-handle-pull-side,2,723.6165771484375,1.0
mw-handle-pull-side,3,1063.1195068359375,1.0
mw-handle-pull-side,4,1292.093017578125,1.0
mw-handle-pull-side,5,1112.5751953125,1.0
mw-handle-pull-side,6,1262.0091552734375,1.0
mw-handle-pull-side,7,1451.3291015625,1.0
mw-handle-pull-side,8,922.7711181640625,1.0
mw-handle-pull-side,9,1441.8590087890625,1.0
mw-handle-pull,0,1122.5992431640625,0.0
mw-handle-pull,1,1747.043701171875,1.0
mw-handle-pull,2,1746.8458251953125,1.0
mw-handle-pull,3,1750.7197265625,1.0
mw-handle-pull,4,1760.22998046875,1.0
mw-handle-pull,5,1727.5120849609375,1.0
mw-handle-pull,6,1708.0216064453125,1.0
mw-handle-pull,7,1757.337890625,1.0
mw-handle-pull,8,1664.966796875,1.0
mw-handle-pull,9,1731.295654296875,1.0
mw-lever-pull,0,1636.7891845703125,1.0
mw-lever-pull,1,1311.242431640625,1.0
mw-lever-pull,2,1569.8038330078125,1.0
mw-lever-pull,3,1641.257568359375,1.0
mw-lever-pull,4,1597.1121826171875,1.0
mw-lever-pull,5,1616.2962646484375,1.0
mw-lever-pull,6,1625.7943115234375,1.0
mw-lever-pull,7,753.5903930664062,0.0
mw-lever-pull,8,750.3047485351562,0.0
mw-lever-pull,9,1546.5223388671875,1.0
mw-peg-insert-side,0,1586.018798828125,1.0
mw-peg-insert-side,1,1687.853271484375,1.0
mw-peg-insert-side,2,1672.468505859375,1.0
mw-peg-insert-side,3,1676.551025390625,1.0
mw-peg-insert-side,4,1718.03515625,1.0
mw-peg-insert-side,5,1678.7213134765625,1.0
mw-peg-insert-side,6,1714.9029541015625,1.0
mw-peg-insert-side,7,1645.543701171875,1.0
mw-peg-insert-side,8,1671.604736328125,1.0
mw-peg-insert-side,9,1645.786865234375,1.0
mw-peg-unplug-side,0,1379.3134765625,1.0
mw-peg-unplug-side,1,837.24755859375,0.0
mw-peg-unplug-side,2,1670.8203125,1.0
mw-peg-unplug-side,3,681.2564086914062,0.0
mw-peg-unplug-side,4,991.3004150390625,0.0
mw-peg-unplug-side,5,1476.6966552734375,1.0
mw-peg-unplug-side,6,1152.0775146484375,1.0
mw-peg-unplug-side,7,1417.713623046875,1.0
mw-peg-unplug-side,8,1077.09228515625,1.0
mw-peg-unplug-side,9,1378.3883056640625,1.0
mw-pick-out-of-hole,0,13.60348129272461,0.0
mw-pick-out-of-hole,1,868.5543212890625,1.0
mw-pick-out-of-hole,2,1634.21875,1.0
mw-pick-out-of-hole,3,621.4983520507812,0.0
mw-pick-out-of-hole,4,1581.4111328125,1.0
mw-pick-out-of-hole,5,958.9940795898438,1.0
mw-pick-out-of-hole,6,13.381672859191895,0.0
mw-pick-out-of-hole,7,3.9504144191741943,0.0
mw-pick-out-of-hole,8,1502.558349609375,1.0
mw-pick-out-of-hole,9,600.4953002929688,0.0
mw-pick-place,0,16.543725967407227,0.0
mw-pick-place,1,806.5660400390625,0.0
mw-pick-place,2,1657.25830078125,1.0
mw-pick-place,3,1725.4451904296875,1.0
mw-pick-place,4,1662.093505859375,1.0
mw-pick-place,5,990.5458984375,1.0
mw-pick-place,6,486.923095703125,0.0
mw-pick-place,7,1737.1005859375,1.0
mw-pick-place,8,1665.883544921875,1.0
mw-pick-place,9,1682.48193359375,1.0
mw-pick-place-wall,0,403.1042785644531,0.0
mw-pick-place-wall,1,49.543365478515625,0.0
mw-pick-place-wall,2,809.3170166015625,0.0
mw-pick-place-wall,3,1404.8831787109375,0.0
mw-pick-place-wall,4,793.8670654296875,1.0
mw-pick-place-wall,5,1664.3748779296875,1.0
mw-pick-place-wall,6,1642.8262939453125,1.0
mw-pick-place-wall,7,105.04082489013672,0.0
mw-pick-place-wall,8,1097.343505859375,0.0
mw-pick-place-wall,9,1417.85595703125,1.0
mw-plate-slide,0,1625.979736328125,1.0
mw-plate-slide,1,1632.2603759765625,1.0
mw-plate-slide,2,1633.99755859375,1.0
mw-plate-slide,3,1655.0,1.0
mw-plate-slide,4,1625.3677978515625,1.0
mw-plate-slide,5,1636.9017333984375,1.0
mw-plate-slide,6,1655.005126953125,1.0
mw-plate-slide,7,1643.4921875,1.0
mw-plate-slide,8,1640.0330810546875,1.0
mw-plate-slide,9,1623.2041015625,1.0
mw-plate-slide-side,0,1736.12841796875,1.0
mw-plate-slide-side,1,1683.5494384765625,1.0
mw-plate-slide-side,2,1720.7279052734375,1.0
mw-plate-slide-side,3,1724.3876953125,1.0
mw-plate-slide-side,4,1626.6527099609375,0.0
mw-plate-slide-side,5,1735.0672607421875,1.0
mw-plate-slide-side,6,1628.7435302734375,0.0
mw-plate-slide-side,7,1690.527587890625,0.0
mw-plate-slide-side,8,1744.94873046875,1.0
mw-plate-slide-side,9,1749.3619384765625,1.0
mw-plate-slide-back,0,1809.94384765625,1.0
mw-plate-slide-back,1,1783.28369140625,1.0
mw-plate-slide-back,2,1752.7196044921875,1.0
mw-plate-slide-back,3,1813.495361328125,1.0
mw-plate-slide-back,4,1808.453125,1.0
mw-plate-slide-back,5,1812.8310546875,1.0
mw-plate-slide-back,6,1806.9437255859375,1.0
mw-plate-slide-back,7,1813.041259765625,1.0
mw-plate-slide-back,8,1774.0718994140625,1.0
mw-plate-slide-back,9,1808.1932373046875,1.0
mw-plate-slide-back-side,0,1767.94580078125,1.0
mw-plate-slide-back-side,1,1786.9798583984375,1.0
mw-plate-slide-back-side,2,1745.0303955078125,1.0
mw-plate-slide-back-side,3,1757.177978515625,1.0
mw-plate-slide-back-side,4,1790.450927734375,1.0
mw-plate-slide-back-side,5,1504.83544921875,1.0
mw-plate-slide-back-side,6,1739.2100830078125,1.0
mw-plate-slide-back-side,7,1605.6407470703125,1.0
mw-plate-slide-back-side,8,1777.744873046875,1.0
mw-plate-slide-back-side,9,1804.33642578125,1.0
mw-push-back,0,994.4644775390625,1.0
mw-push-back,1,13.18295669555664,0.0
mw-push-back,2,1402.111328125,1.0
